Data for DRILL

Entries are:   drill name		 drill diameter (in)
Separate the two entries by at least one tab.
Drill name should be <= 20 characters
Entries need NOT be ordered by size - program automatically sorts data

You can add your personal drill data to this file using any ascii text editor.
Drills you don't have can be deleted from list, if desired.
Program can handle up to 500 entries - if you need more contact me
via email at: mklotz@alum.mit.edu
(This default list contains 371 entries.)

anything above the line below is ignored
STARTOFDATA

1/64		.0156
1/32		.0313
3/64		.0469
1/16		.0625
5/64		.0781
3/32		.0938
7/64		.1094
1/8		.1250
9/64		.1406
5/32		.1562
11/64		.1719
3/16		.1875
13/64		.2031
7/32		.2188
15/64		.2344
1/4 or E	.2500
17/64		.2656
9/32		.2812
19/64		.2969
5/16		.3125
21/64		.3281
11/32		.3438
23/64		.3594
3/8		.3750
25/64		.3906
13/32		.4062
27/64		.4219
7/16		.4375
29/64		.4531
15/32		.4688
31/64		.4844
1/2		.5000
33/64		.5156
17/32		.5313
35/64		.5469
9/16		.5625
37/64		.5781
19/32		.5938
39/64		.6094
5/8		.6250
41/64		.6406
21/32		.6562
43/64		.6719
11/16		.6875
45/64		.7031
23/32		.7188
47/64		.7344
3/4		.7500
49/64		.7656
25/32		.7812
51/64		.7969
13/16		.8125
53/64		.8281
27/32		.8438
55/64		.8594
7/8		.8750
57/64		.8906
29/32		.9062
59/64		.9219
15/16		.9375
61/64		.9531
31/32		.9688
63/64		.9844
1 in		1.0000
1-3/64		1.0469
1-7/64		1.1094
1-1/8		1.1250
1-11/64		1.1719
1-7/32		1.2188
1-1/4		1.2500
1-19/64		1.2969
1-11/32		1.3438
1-3/8		1.3750
1-27/64		1.4219
1-1/2		1.5000

97		.0059
96		.0063
95		.0067
94		.0071
93		.0075
92		.0079
91		.0083
90		.0087
89		.0091
88		.0095
87		.0100
86		.0105
85		.0110
84		.0115
83		.0120
82		.0125
81		.0130
80		.0135
79		.0145
78		.0160
77		.0180
76		.0200
75		.0210
74		.0225
73		.0240
72		.0250
71		.0260
70		.0280
69		.0292
68		.0310
67		.0320
66		.0330
65		.0350
