stock diameter = 0.125
tool width = 0.036
axial cutting increment = 0.005
start with left side of tool against end of stock

c=compound rest setting (axial feed)
d=diameter of resulting cut
doc=depth of cut

   i       c       d     doc

   1   0.000   0.000   0.063
   2   0.005   0.023   0.051
   3   0.010   0.044   0.041
   4   0.015   0.061   0.032
   5   0.020   0.072   0.026
   6   0.025   0.080   0.023
   7   0.030   0.085   0.020
   8   0.035   0.090   0.018
   9   0.040   0.094   0.015
  10   0.045   0.099   0.013
  11   0.050   0.102   0.011
  12   0.055   0.105   0.010
  13   0.060   0.108   0.009
  14   0.065   0.111   0.007
  15   0.070   0.116   0.005
  16   0.075   0.120   0.003
  17   0.080   0.123   0.001
  18   0.085   0.124   0.000
  19   0.090   0.125   0.000
  20   0.095   0.125   0.000
  21   0.100   0.125   0.000
  22   0.105   0.125   0.000
  23   0.110   0.125   0.000
  24   0.115   0.125   0.000
  25   0.120   0.125   0.000
  26   0.125   0.125   0.000
  27   0.130   0.125   0.000
  28   0.135   0.125   0.000
  29   0.140   0.125   0.000
  30   0.145   0.125   0.000
  31   0.150   0.125   0.000
  32   0.155   0.125   0.000
  33   0.160   0.125   0.000
  34   0.165   0.125   0.000
  35   0.170   0.124   0.000
  36   0.175   0.124   0.001
  37   0.180   0.123   0.001
  38   0.185   0.123   0.001
  39   0.190   0.120   0.002
  40   0.195   0.116   0.004
  41   0.200   0.110   0.008
  42   0.205   0.102   0.012
  43   0.210   0.093   0.016
  44   0.215   0.084   0.020
  45   0.220   0.076   0.024
  46   0.225   0.070   0.027
  47   0.230   0.066   0.029
  48   0.235   0.064   0.031
  49   0.240   0.063   0.031
  50   0.245   0.063   0.031
  51   0.250   0.063   0.031
  52   0.255   0.063   0.031
  53   0.260   0.064   0.030
  54   0.265   0.065   0.030
  55   0.270   0.067   0.029
  56   0.275   0.068   0.028
  57   0.280   0.071   0.027
  58   0.285   0.075   0.025
  59   0.290   0.080   0.022
  60   0.295   0.087   0.019
  61   0.300   0.097   0.014
  62   0.305   0.107   0.009
  63   0.310   0.119   0.003
  64   0.315   0.125   0.000
  65   0.320   0.125   0.000
  66   0.325   0.125   0.000
  67   0.330   0.125   0.000
  68   0.335   0.125   0.000
  69   0.340   0.125   0.000
  70   0.345   0.125   0.000
  71   0.350   0.125   0.000
  72   0.355   0.125   0.000
  73   0.360   0.125   0.000
  74   0.365   0.125   0.000
  75   0.370   0.125   0.000
  76   0.375   0.125   0.000
