Data for CURFIT

data need not be in numerical order - program sorts before use

anything above the line below is ignored
STARTOFDATA

;data pair (independent variable, dependent variable)

;y = 4 + 3*x + 2*x^2 + 1*x^2
0.000000,4.000000
1.000000,10.000000
2.000000,26.000000
3.000000,58.000000
4.000000,112.000000
5.000000,194.000000
6.000000,310.000000
7.000000,466.000000
8.000000,668.000000
9.000000,922.000000
10.000000,1234.000000
11.000000,1610.000000
12.000000,2056.000000
13.000000,2578.000000
14.000000,3182.000000
15.000000,3874.000000
16.000000,4660.000000
17.000000,5546.000000
18.000000,6538.000000
19.000000,7642.000000

;above the line below requires a semicolon
ENDOFDATA
this is below the line and has no semicolon

;y = 4 + 3*x + 2*x^2 + 1*x^2
0.000000,4.000000
1.000000,10.000000
2.000000,26.000000
3.000000,58.000000
4.000000,112.000000
5.000000,194.000000
6.000000,310.000000
7.000000,466.000000
8.000000,668.000000
9.000000,922.000000
10.000000,1234.000000
11.000000,1610.000000
12.000000,2056.000000
13.000000,2578.000000
14.000000,3182.000000
15.000000,3874.000000
16.000000,4660.000000
17.000000,5546.000000
18.000000,6538.000000
19.000000,7642.000000

;y = 4 + 3*x + 2*x^2 + 1*x^2 + noise (5)
0.000000,4.548418
1.000000,12.221442
2.000000,27.698202
3.000000,61.929716
4.000000,112.305490
5.000000,198.297922
6.000000,313.466903
7.000000,469.506424
8.000000,668.296030
9.000000,925.057649
10.000000,1235.315806
11.000000,1611.606952
12.000000,2059.951842
13.000000,2582.516434
14.000000,3182.765709
15.000000,3877.469039
16.000000,4662.662893
17.000000,5546.697348
18.000000,6542.664754
19.000000,7643.292459

;y = 2 + log(x)
1.000000,2.000000
2.000000,2.693147
3.000000,3.098612
4.000000,3.386294
5.000000,3.609438
6.000000,3.791759
7.000000,3.945910
8.000000,4.079442
9.000000,4.197225
10.000000,4.302585
11.000000,4.397895
12.000000,4.484907
13.000000,4.564949
14.000000,4.639057
15.000000,4.708050
16.000000,4.772589
17.000000,4.833213
18.000000,4.890372
19.000000,4.944439

;y = 2 + log(x) + noise(0.5)
1.000000,2.010346
2.000000,2.956446
3.000000,3.349459
4.000000,3.390170
5.000000,4.092592
6.000000,4.215539
7.000000,4.382035
8.000000,4.317410
9.000000,4.238272
10.000000,4.382528
11.000000,4.544872
12.000000,4.545425
13.000000,4.793625
14.000000,5.128834
15.000000,4.892031
16.000000,4.868951
17.000000,5.174883
18.000000,4.896186
19.000000,4.965344

;y = 2 * exp (1*x)
1.000000,5.436564E+000
2.000000,1.477811E+001
3.000000,4.017107E+001
4.000000,1.091963E+002
5.000000,2.968263E+002
6.000000,8.068576E+002
7.000000,2.193266E+003
8.000000,5.961916E+003
9.000000,1.620617E+004

;y = 2 * exp (1*x) + noise(.5)
1.000000,5.437601E+000
2.000000,1.487197E+001
3.000000,4.044841E+001
4.000000,1.095381E+002
5.000000,2.968779E+002
6.000000,8.070768E+002
7.000000,2.193321E+003
8.000000,5.962007E+003
9.000000,1.620659E+004

;y = 2 * x^0.5
1.000000,2.000000E+000
2.000000,2.828427E+000
3.000000,3.464102E+000
4.000000,4.000000E+000
5.000000,4.472136E+000
6.000000,4.898979E+000
7.000000,5.291503E+000
8.000000,5.656854E+000
9.000000,6.000000E+000

;y = 2 * x^0.5 + noise(.5)
1.000000,2.080309E+000
2.000000,2.858473E+000
3.000000,3.925175E+000
4.000000,4.020432E+000
5.000000,4.927930E+000
6.000000,4.946421E+000
7.000000,5.406725E+000
8.000000,5.682810E+000
9.000000,6.274453E+000

