		Partial List of Class 2A Thread Data

Source: Machinery's Handbook, 23rd Edition, pg. 1498

Type	Major-Diameter	Pitch-Diameter
	Max	Min	Max	Min

0-80	0.0595	0.0563	0.0514	0.0496
1-72	0.0724	0.0689	0.0634	0.0615
2-56	0.0854	0.0813	0.0738	0.0717
3-48	0.0983	0.0938	0.0848	0.0825
4-40	0.1112	0.1061	0.0950	0.0814
4-48	0.1113	0.1068	0.0978	0.0954
5-40	0.1242	0.1191	0.1080	0.1054
6-32	0.1372	0.1312	0.1169	0.1141
6-40	0.1372	0.1321	0.1210	0.1184
8-32	0.1631	0.1571	0.1428	0.1399
10-24	0.1890	0.1818	0.1619	0.1586
10-32	0.1891	0.1831	0.1688	0.1658
1/4-20	0.2489	0.2367	0.2164	0.2108
1/4-28	0.2490	0.2392	0.2258	0.2208
1/4-40	0.2491	0.2440	0.2329	0.2300
5/16-18	0.3113	0.3026	0.2752	0.2712
5/16-24	0.3114	0.3042	0.2843	0.2806
3/8-16	0.3737	0.3643	0.3331	0.3287
3/8-24	0.3739	0.3667	0.3468	0.3430
7/16-14	0.4361	0.4258	0.3897	0.3850
7/16-20	0.4362	0.4281	0.4037	0.3995
1/2-13	0.4985	0.4876	0.4485	0.4435
1/2-20	0.4987	0.4906	0.4662	0.4619

1-8	0.9980	0.9830	0.9168	0.9100
2.25-8	2.2476	2.2326	2.1664	2.1584

