Data for FINDTHRD

Received 03/29/99 from Andy Pugh of BodgeSoc Industries (Sheffield, UK)
Email =  a.c.pugh@sheffield.ac.uk (andy the pugh)

ADM = Admiralty
ASME = ASME Thread
BA = British association
Brass = Brass thread
BSF = British Standard Fine
BSP = British Standard Pipe Thread
CEI = Cycle Engineers Institute 
GAS = Gas (Brass Pipe) Thread
HOLTZ= Holtzapfels Threads
LOEW = Loewenhertz Threads 
M = ISO Metric
PEND = Watch Pendant Thread
PROG = Progress Thread
SPARK = Spark Plug Threads
THURY = Swiss Screw Thread
UNF/UNC = Unified National Fine/Coarse
UNEF = Unified National Extra Fine
WALTH = Waltham Thread
Whit = Whitworth
WINS = Whitworth Instrument
WPipe = Whitworth Pipe Thread

anything above the line below is ignored by the program
STARTOFDATA



;Thread      Dia/    Dia/    Pitch/  Pitch/  Core    Core   Depth/ Depth/
;Name        Inch    mm      TPI     mm      Dia/"   Dia/mm  Inch    mm

10 W.INS    0.0100  0.254   400.0  0.064   0.0068  0.173   0.0016  0.041
25 THURY    0.0100  0.254   353.8  0.072               
11 W.INS    0.0110  0.279   400.0  0.064   0.0078  0.198   0.0016  0.041
24 THURY    0.0114  0.289   318.3  0.080               
12 W.INS    0.0120  0.305   350.0  0.073   0.0083  0.212   0.0018  0.046
23 THURY    0.0129  0.328   286.7  0.089               
23 BA       0.0130  0.330   282.2  0.090   0.0087  0.220   0.0022  0.055
13 W.INS    0.0130  0.330   350.0  0.073   0.0093  0.237   0.0018  0.046
23 WALTH    0.0138  0.350   254.0  0.100   0.0106  0.270   0.0016  0.040
14 W.INS    0.0140  0.356   300.0  0.085   0.0097  0.247   0.0021  0.054
22 BA       0.0146  0.370   259.2  0.098   0.0098  0.250   0.0024  0.060
22 THURY    0.0146  0.372   257.9  0.099               
15 WINS     0.0150  0.381   300.0  0.085   0.0107  0.273   0.0021  0.054
4 PROG      0.0157  0.400   254.0  0.100   0.0094  0.240   0.0031  0.080
16 W.INS    0.0160  0.406   300.0  0.085   0.0117  0.298   0.0021  0.054
21 BA       0.0165  0.420   230.9  0.110   0.0114  0.290   0.0026  0.065
21 THURY    0.0168  0.426   233.0  0.109               
17 W.INS    0.0170  0.432   250.0  0.102   0.0119  0.302   0.0026  0.065
21 WALTH    0.0177  0.450   240.0  0.106   0.0134  0.340   0.0022  0.055
4 1/2 PROG  0.0177  0.450   254.0  0.100   0.0114  0.290   0.0031  0.080
18 W.INS    0.0180  0.457   250.0  0.102   0.0129  0.327   0.0026  0.065
20 THURY    0.0189  0.479   208.2  0.122               
20 BA       0.0189  0.480   211.7  0.120   0.0134  0.340   0.0028  0.070
19 W.INS    0.0190  0.483   250.0  0.102   0.0139  0.353   0.0026  0.065
5 PROG      0.0197  0.500   203.2  0.125   0.0118  0.300   0.0039  0.100
20 W.INS    0.0200  0.508   210.0  0.121   0.0139  0.353   0.0030  0.077
19 BA       0.0213  0.540   181.4  0.140   0.0146  0.370   0.0033  0.085
19 THURY    0.0214  0.543   188.1  0.135               
19 WALTH    0.0217  0.550   220.0  0.115   0.0177  0.450   0.0020  0.050
5 1/2 PROG  0.0217  0.550   203.2  0.125   0.0138  0.350   0.0039  0.100
22 W.INS    0.0220  0.559   210.0  0.121   0.0159  0.404   0.0030  0.077
6 PROG      0.0236  0.600   169.3  0.150   0.0142  0.360   0.0047  0.120
24 W.INS    0.0240  0.610   210.0  0.121   0.0179  0.455   0.0030  0.077
18 THURY    0.0243  0.616   169.3  0.150               
18 BA       0.0244  0.620   169.3  0.150   0.0173  0.440   0.0035  0.090
17 WALTH    0.0256  0.650   200.0  0.127   0.0213  0.540   0.0022  0.055
6 1/2 PROG  0.0256  0.650   169.3  0.150   0.0161  0.410   0.0047  0.120
26 W.INS    0.0260  0.660   180.0  0.141   0.0189  0.480   0.0036  0.090
17 THURY    0.0275  0.699   152.1  0.167               
17 BA       0.0276  0.700   149.4  0.170   0.0197  0.500   0.0039  0.100
7 PROG      0.0276  0.700   145.1  0.175   0.0165  0.420   0.0055  0.140
28 W.INS    0.0280  0.711   180.0  0.141   0.0209  0.531   0.0036  0.090
7 1/2 PROG  0.0295  0.750   145.1  0.175   0.0185  0.470   0.0055  0.140
30 W.INS    0.0300  0.762   180.0  0.141   0.0229  0.581   0.0036  0.090
16 BA       0.0311  0.790   133.7  0.190   0.0220  0.560   0.0045  0.115
16 THURY    0.0313  0.794   137.3  0.185               
8 PROG      0.0315  0.800   127.0  0.200   0.0189  0.480   0.0063  0.160
32 W.INS    0.0320  0.813   180.0  0.141   0.0249  0.632   0.0036  0.090
15 WALTH    0.0327  0.830   180.0  0.141   0.0280  0.710   0.0024  0.060
8 1/2 PROG  0.0335  0.850   127.0  0.200   0.0209  0.530   0.0063  0.160
34 W.INS    0.0340  0.864   150.0  0.169   0.0255  0.647   0.0043  0.108
15 BA       0.0354  0.900   121.0  0.210   0.0256  0.650   0.0049  0.125
9 PROG      0.0354  0.900   112.9  0.225   0.0213  0.540   0.0071  0.180
15 THURY    0.0355  0.901   123.3  0.206               
36 W.INS    0.0360  0.914   150.0  0.169   0.0275  0.698   0.0043  0.108
9 WALTH     0.0366  0.930   160.0  0.159   0.0280  0.710   0.0043  0.110
9 1/2 PROG  0.0374  0.950   112.9  0.225   0.0232  0.590   0.0071  0.180
38 W.INS    0.0380  0.965   120.0  0.212   0.0273  0.694   0.0053  0.135
1 LOEW      0.0394  1.000   101.6  0.250   0.0246  0.625   0.0074  0.188
10 PROG     0.0394  1.000   101.6  0.250   0.0236  0.600   0.0079  0.200
13 WALTH    0.0394  1.000   180.0  0.141   0.0335  0.850   0.0030  0.075
14 BA       0.0394  1.000   110.4  0.230   0.0283  0.720   0.0055  0.140
7 WALTH     0.0394  1.000   140.0  0.181   0.0335  0.850   0.0030  0.075
40 W.INS    0.0400  1.016   120.0  0.212   0.0293  0.745   0.0053  0.135
11 PROG     0.0433  1.100   92.4   0.275   0.0260  0.660   0.0087  0.220
5 WALTH     0.0433  1.100   120.0  0.212   0.0374  0.950   0.0030  0.075
14 THURY    0.0434  1.102   110.9  0.229               
45 W.INS    0.0450  1.143   120.0  0.212   0.0343  0.872   0.0053  0.135
13 THURY    0.0457  1.160   100.0  0.254               
1.2 LOEW    0.0472  1.200   101.6  0.250   0.0325  0.825   0.0074  0.188
12 PROG     0.0472  1.200   84.7   0.300   0.0283  0.720   0.0094  0.240
13 BA       0.0472  1.200   101.6  0.250   0.0354  0.900   0.0059  0.150
3 WALTH     0.0472  1.200   110.0  0.231   0.0402  1.020   0.0035  0.090
50 W.INS    0.0500  1.270   100.0  0.254   0.0372  0.945   0.0064  0.163
12BA        0.0510  1.300   90.9   0.282   0.0375  0.953   0.0066  0.168
13 PROG     0.0512  1.300   78.2   0.325   0.0307  0.780   0.0102  0.260
12 THURY    0.0520  1.320   90.1   0.282               
11 WALTH    0.0528  1.340   170.0  0.149   0.0480  1.220   0.0024  0.060
55 W.INS    0.0550  1.397   100.0  0.254   0.0422  1.072   0.0064  0.163
1.4 LOEW    0.0551  1.400   84.7   0.300   0.0374  0.950   0.0089  0.225
14 PROG     0.0551  1.400   72.6   0.350   0.0331  0.840   0.0110  0.280
11 THURY    0.0587  1.490   80.9   0.314               
11BA        0.0590  1.500   82.0   0.314   0.0445  1.130   0.0073  0.185
1 WALTH     0.0591  1.500   110.0  0.231   0.0520  1.320   0.0035  0.090
15 PROG     0.0591  1.500   67.7   0.375   0.0354  0.900   0.0118  0.300
0-80 ASME   0.0600  1.524   80.0   0.318   0.0438  1.113   0.0081  0.206
60 W.INS    0.0600  1.524   100.0  0.254   0.0472  1.199   0.0064  0.163
16 PROG     0.0630  1.600   55.6   0.457   0.0342  0.869   0.0144  0.366
10 THURY    0.0646  1.640   72.8   0.349               
65 W.INS    0.0650  1.651   80.0   0.318   0.0490  1.245   0.0080  0.203
1.7 LOEW    0.0669  1.700   72.6   0.350   0.0463  1.175   0.0103  0.263
17 PROG     0.0669  1.700   52.3   0.486   0.0363  0.922   0.0153  0.389
10BA        0.0670  1.700   72.5   0.349   0.0503  1.278   0.0083  0.211
70 W.INS    0.0700  1.778   80.0   0.318   0.0540  1.372   0.0080  0.203
18 PROG     0.0709  1.800   49.4   0.514   0.0385  0.978   0.0162  0.411
1-56 ASME   0.0730  1.854   56.0   0.454   0.0498  1.265   0.0116  0.295
1-64 ASME   0.0730  1.854   64.0   0.397   0.0527  1.339   0.0102  0.258
1-72 ASME   0.0730  1.854   72.0   0.353   0.0550  1.397   0.0090  0.229
